Run,Timestamp,Execution Time (ms),CPU Time (ms),Memory (MB)
1,2025-04-12T09:03:52.891Z,2614.03,17984.00,224.85
2,2025-04-12T09:03:55.344Z,2452.63,18656.00,256.04
