Run,Timestamp,Execution Time (ms),CPU Time (ms),Memory (MB)
1,2025-04-12T09:03:22.486Z,7580.28,31891.00,521.83
2,2025-04-12T09:03:41.439Z,18946.74,26094.00,99.46
